analysis,mode,P_cr_lbf,P_cr_kips,sigma_cr_ksi,rigid_section_participation,U_mid,V_mid,theta_mid,twist_to_translation
all,1,51220.351389885174,51.220351389885174,34.881997576458545,0.9998795103851784,-1.0678981647290205e-7,0.01025259717905137,7.494459879371052e-5,0.024943599192644366
all,2,101095.93651639769,101.09593651639769,68.84818469346109,0.016662067346633964,0.0006098109453579688,3.1407972774386006e-5,1.1163116283031764e-5,0.062383199200931494
all,3,103583.74312857653,103.58374312857653,70.54242656923739,0.018165232240414803,0.00012795082136458734,-2.7096177604858178e-6,7.825372520882993e-7,0.020864945578805087
all,4,105650.3957558576,105.65039575585759,71.94985486638951,0.013054387322258868,-0.0006699526803433265,-2.4097213669929927e-7,-1.252450067772163e-5,0.06379239954224396
timoshenko,FT,45839.17766182492,45.83917766182492,,,,,,
