analysis,mode,P_cr_lbf,P_cr_kips,sigma_cr_gross_ksi,rigid_section_participation,U_mid,V_mid,theta_mid,twist_to_translation
all,1,42111.34189814757,42.11134189814757,28.685774739264225,0.9998162882640014,-9.739577748113316e-8,0.004338094522740238,3.3013770424103044e-5,0.026767196502625323
all,2,74109.35933022213,74.10935933022213,50.48246605296272,0.023708875593265642,-0.00035210116192749096,-2.0378588214235133e-5,-7.667922082345643e-6,0.07646995401807613
all,3,77725.26727712485,77.72526727712484,52.94558207271914,0.03929586094683714,0.0001869618385941276,4.420255346173335e-6,3.133821752142984e-6,0.05893954060202299
all,4,77943.48034290077,77.94348034290077,53.09422637061761,0.033673802784326905,-0.000228000834003723,4.183355142622828e-6,-1.6489621337128715e-7,0.002543360535286963
