analysis,mode,P_cr_lbf,P_cr_kips,sigma_cr_gross_ksi,rigid_section_participation,U_mid,V_mid,theta_mid,twist_to_translation
all,1,50142.02925351584,50.14202925351584,34.15618907644509,0.9998521316297242,-6.241778764980542e-8,0.0047832078955071505,3.161850269331969e-5,0.022360808826935367
all,2,99602.64392269414,99.60264392269414,67.84820616526669,0.02076317895855955,-0.00025293690457296817,-1.52810059236444e-5,-6.70035290989404e-6,0.08944577354446874
all,3,101778.85143943732,101.77885143943732,69.33061436689025,0.026422167695447262,-8.855271594975607e-5,4.771127966417137e-6,2.9593320478095527e-6,0.11288281342976597
all,4,103177.166844954,103.177166844954,70.2831311694683,0.022034821760886513,-0.00018437395647789875,6.293488184838289e-6,-4.5609186199233495e-6,0.08363062666894937
